query,intent,response
"How do I track my order?",order_tracking,"You can track your order by visiting our website and entering your order ID in the 'Track Order' section. You will also receive email updates."
"Where is my package?",order_tracking,"Your package can be tracked using the tracking number sent to your email. Please check your spam folder if you cannot find it."
"I haven't received my order yet",order_tracking,"We apologize for the delay. Please share your order ID and we will investigate the status of your shipment immediately."
"What is the status of my delivery?",order_tracking,"Please provide your order number so we can check the current delivery status for you."
"My order hasn't arrived",order_tracking,"We're sorry to hear that. Could you please share your order ID so we can look into this for you?"
"How can I return a product?",returns_refunds,"You can return any product within 30 days of purchase. Visit our returns portal and follow the instructions to generate a return label."
"I want to return my item",returns_refunds,"No problem! You can initiate a return from your account under 'My Orders'. Select the item and choose 'Return'. We offer free returns within 30 days."
"How do I get a refund?",returns_refunds,"Once we receive your returned item, the refund will be processed within 5-7 business days to your original payment method."
"Can I exchange my product?",returns_refunds,"Yes, exchanges are possible within 30 days. Please initiate the return and place a new order for the desired item."
"The item I received is damaged",returns_refunds,"We sincerely apologize! Please take a photo of the damaged item and contact us with your order ID. We'll send a replacement immediately."
"How do I cancel my order?",order_cancellation,"Orders can be cancelled within 24 hours of placement. Go to 'My Orders', select the order, and click 'Cancel Order'."
"I want to cancel my order",order_cancellation,"We can cancel your order if it hasn't been shipped yet. Please share your order ID and we will process the cancellation."
"Please cancel my purchase",order_cancellation,"If your order is still in processing stage, we can cancel it. Please provide your order number for us to check."
"Can you cancel the order I just placed?",order_cancellation,"Sure! If it was placed within the last 24 hours and hasn't shipped, we can cancel it. What's your order ID?"
"I placed the wrong order",order_cancellation,"Don't worry! If the order hasn't shipped, we can cancel it. If it has, you can return it within 30 days."
"How do I reset my password?",account_support,"Click on 'Forgot Password' on the login page and enter your registered email address. You'll receive a reset link within a few minutes."
"I cannot log into my account",account_support,"Please try resetting your password first. If the issue persists, clear your browser cache or try a different browser."
"My account is locked",account_support,"Your account may be locked after multiple failed login attempts. Please wait 15 minutes and try again, or reset your password."
"I forgot my password",account_support,"No worries! Go to the login page and click 'Forgot Password'. Enter your email and follow the instructions sent to you."
"How do I change my email address?",account_support,"You can update your email in 'Account Settings'. Go to Profile > Edit > Update Email. A verification link will be sent to your new email."
"What payment methods do you accept?",payment_issues,"We accept all major credit and debit cards, PayPal, UPI, net banking, and wallet payments like Paytm and PhonePe."
"My payment failed",payment_issues,"We're sorry about that! Payment failures can happen due to bank issues or incorrect card details. Please try again or use a different payment method."
"I was charged twice",payment_issues,"We apologize for the inconvenience. Please share your order ID and transaction details and we will investigate and refund the extra charge."
"Why was my payment declined?",payment_issues,"Payments can be declined due to insufficient funds, incorrect card details, or bank security checks. Please contact your bank or try another payment method."
"Can I pay on delivery?",payment_issues,"Yes, Cash on Delivery (COD) is available for eligible orders in selected pin codes. You can choose this option at checkout."
"Do you offer discounts?",promotions,"We regularly offer discounts and promotional codes. Subscribe to our newsletter or follow us on social media to stay updated on the latest deals."
"How do I apply a coupon code?",promotions,"At checkout, you'll find a 'Apply Coupon' field. Enter your coupon code there and the discount will be applied to your order total."
"My coupon isn't working",promotions,"Please check if the coupon is valid for the items in your cart and hasn't expired. Some coupons have minimum order value requirements."
"Do you have any ongoing sale?",promotions,"Please visit our website's 'Offers' section for the latest sales and promotions. We also send exclusive deals to our email subscribers!"
"When is the next sale?",promotions,"We run seasonal sales and flash sales throughout the year. Sign up for our newsletter to be the first to know about upcoming sales."
"How do I contact customer support?",general_inquiry,"You can reach our support team via live chat, email at support@store.com, or call our helpline at 1800-XXX-XXXX (available 9 AM to 9 PM)."
"What are your business hours?",general_inquiry,"Our customer support is available Monday to Saturday, from 9 AM to 9 PM. For urgent issues, you can use our 24/7 chat support."
"Where are you located?",general_inquiry,"We are an online-only store serving customers across India. Our warehouse is located in Mumbai, and we ship nationwide."
"Do you ship internationally?",general_inquiry,"Currently, we only ship within India. We plan to expand international shipping soon. Stay tuned for updates!"
"How long does delivery take?",general_inquiry,"Standard delivery takes 5-7 business days. Express delivery (1-2 days) is available for most major cities at an additional charge."
"My product stopped working",product_complaint,"We're sorry to hear that. Please describe the issue with your product, and share the order ID. We'll arrange a replacement or repair under warranty."
"The quality of the product is poor",product_complaint,"We apologize for the unsatisfactory experience. Please share photos and your order details, and we will arrange a return or replacement."
"I received the wrong item",product_complaint,"We're very sorry for the mix-up! Please don't use the item and contact us with your order ID and a photo. We'll send the correct item right away."
"The product is not as described",product_complaint,"We're sorry for the inconvenience. You may return the item for a full refund or exchange. Our team will also look into improving the product description."
"Product is missing parts",product_complaint,"We apologize! Please share photos of what you received along with your order ID. We'll send the missing parts or replace the product entirely."
